Beta,Date
2.96E-08,2020/1/24
4.44E-08,2020/1/25
4.44E-08,2020/1/26
4.44E-08,2020/1/27
5.92E-08,2020/1/28
7.40E-08,2020/1/29
7.40E-08,2020/1/30
7.40E-08,2020/1/31
8.88E-08,2020/2/1
8.88E-08,2020/2/2
8.88E-08,2020/2/3
8.88E-08,2020/2/4
8.88E-08,2020/2/5
8.88E-08,2020/2/6
8.88E-08,2020/2/7
1.63E-07,2020/2/8
1.63E-07,2020/2/9
1.63E-07,2020/2/10
1.63E-07,2020/2/11
1.63E-07,2020/2/12
1.63E-07,2020/2/13
1.63E-07,2020/2/14
1.78E-07,2020/2/15
1.78E-07,2020/2/16
1.78E-07,2020/2/17
1.78E-07,2020/2/18
1.78E-07,2020/2/19
1.78E-07,2020/2/20
1.78E-07,2020/2/21
1.78E-07,2020/2/22
1.78E-07,2020/2/23
1.78E-07,2020/2/24
2.07E-07,2020/2/25
2.66E-07,2020/2/26
5.62E-07,2020/2/27
8.44E-07,2020/2/28
1.48E-06,2020/2/29
1.92E-06,2020/3/1
2.83E-06,2020/3/2
3.14E-06,2020/3/3
4.26E-06,2020/3/4
6.31E-06,2020/3/5
9.12E-06,2020/3/6
1.40E-05,2020/3/7
1.67E-05,2020/3/8
2.09E-05,2020/3/9
2.64E-05,2020/3/10
3.39E-05,2020/3/11
3.39E-05,2020/3/12
5.45E-05,2020/3/13
6.65E-05,2020/3/14
6.71E-05,2020/3/15
9.89E-05,2020/3/16
0.000114201,2020/3/17
0.00013506,2020/3/18
0.00016239,2020/3/19
0.000188863,2020/3/20
0.000214109,2020/3/21
0.000248092,2020/3/22
0.000297924,2020/3/23
0.000331232,2020/3/24
0.000375102,2020/3/25
0.000433138,2020/3/26
0.000489359,2020/3/27
0.00055818,2020/3/28
0.000596751,2020/3/29
0.000661275,2020/3/30
0.000774352,2020/3/31
0.000846162,2020/4/1
0.000877387,2020/4/2
0.000954847,2020/4/3
0.000701721,2020/4/4
0.000714393,2020/4/5
0.000753732,2020/4/6
0.000701988,2020/4/7
0.000759128,2020/4/8
0.000815222,2020/4/9
0.000838423,2020/4/10
0.000859847,2020/4/11
0.001612783,2020/4/12
0.001659424,2020/4/13
0.001918592,2020/4/14
0.001966257,2020/4/15
0.002153189,2020/4/16
0.002181298,2020/4/17
0.002237879,2020/4/18
0.002254114,2020/4/19
0.002290496,2020/4/20
0.002330137,2020/4/21
0.002356904,2020/4/22
0.002331476,2020/4/23
0.002373277,2020/4/24
0.002398231,2020/4/25
0.002407645,2020/4/26
0.002462466,2020/4/27
0.002509053,2020/4/28
0.00248741,2020/4/29
0.002505527,2020/4/30
0.002513352,2020/5/1
0.002525133,2020/5/2
0.002530503,2020/5/3
0.002538863,2020/5/4
0.00255548,2020/5/5
0.002617013,2020/5/6
0.002628038,2020/5/7
0.002635939,2020/5/8
0.00264381,2020/5/9
0.002647514,2020/5/10
0.002652187,2020/5/11
0.002663391,2020/5/12
0.002671143,2020/5/13
0.002680696,2020/5/14
0.00268833,2020/5/15
0.002694505,2020/5/16
0.002696588,2020/5/17
0.002703195,2020/5/18
0.002710651,2020/5/19
0.002717824,2020/5/20
0.002721797,2020/5/21
0.002733047,2020/5/22
0.002741173,2020/5/23
0.00273464,2020/5/24
0.002739476,2020/5/25
0.002743271,2020/5/26
0.002745831,2020/5/27
0.002795584,2020/5/28
0.002804425,2020/5/29
0.002831143,2020/5/30
0.002834581,2020/5/31
0.002840639,2020/6/1
0.002831009,2020/6/2
0.002782993,2020/6/3
0.002847888,2020/6/4
0.002856536,2020/6/5
0.002865051,2020/6/6
0.002870127,2020/6/7
0.002874206,2020/6/8
0.002882438,2020/6/9
0.002891742,2020/6/10
0.00289716,2020/6/11
0.002909099,2020/6/12
0.002916498,2020/6/13
0.002922304,2020/6/14
0.002924329,2020/6/15
0.0029342,2020/6/16
0.002941465,2020/6/17
0.002950189,2020/6/18
0.002961906,2020/6/19
0.002971122,2020/6/20
0.002976229,2020/6/21
0.002978344,2020/6/22
0.002988736,2020/6/23
0.002992727,2020/6/24
0.002996523,2020/6/25
0.003015329,2020/6/26
0.003022,2020/6/27
0.003015955,2020/6/28
0.003025559,2020/6/29
0.003032126,2020/6/30
0.003046868,2020/7/1
0.003054894,2020/7/2
0.00306292,2020/7/3
0.003068252,2020/7/4
0.003068415,2020/7/5
0.003083575,2020/7/6
0.003090336,2020/7/7
0.003102578,2020/7/8
0.00310919,2020/7/9
0.003119839,2020/7/10
0.003123577,2020/7/11
0.003123815,2020/7/12
0.003145009,2020/7/13
0.003145933,2020/7/14
0.003156761,2020/7/15
0.003165236,2020/7/16
0.003177583,2020/7/17
0.003180011,2020/7/18
0.003180071,2020/7/19
0.003208536,2020/7/20
0.003217399,2020/7/21
0.003231119,2020/7/22
0.003249531,2020/7/23
0.003265784,2020/7/24
0.003267095,2020/7/25
0.003267095,2020/7/26
0.003304162,2020/7/27
0.003312565,2020/7/28
0.003334466,2020/7/29
0.003355162,2020/7/30
0.003374652,2020/7/31
0.003375591,2020/8/1
0.003375636,2020/8/2
0.003425705,2020/8/3
0.003440175,2020/8/4
0.00346563,2020/8/5
0.003489491,2020/8/6
0.003525068,2020/8/7
0.003526112,2020/8/8
0.003526634,2020/8/9
0.003597155,2020/8/10
0.003618235,2020/8/11
0.003656968,2020/8/12
0.003696896,2020/8/13
0.003740481,2020/8/14
0.003788349,2020/8/15
0.003833135,2020/8/16
0.00384283,2020/8/17
0.003874435,2020/8/18
0.0039307,2020/8/19
0.004002308,2020/8/20
0.004077045,2020/8/21
0.004128886,2020/8/22
0.004198731,2020/8/23
0.004228224,2020/8/24
0.0042822,2020/8/25
0.004286485,2020/8/26
0.00445375,2020/8/27
0.004567865,2020/8/28
0.004649423,2020/8/29
