Beta,Date,,,,,,,,,,,
2.95E-08,2020/1/31,,,,,,,,,,,
2.95E-08,2020/2/1,,,,,,,,,,,
2.95E-08,2020/2/2,,,,,,,,,,,
1.18E-07,2020/2/3,,,,,,,,,,,
1.18E-07,2020/2/4,,,,,,,,,,,
1.33E-07,2020/2/5,,,,,,,,,,,
1.33E-07,2020/2/6,,,,,,,,,,,
1.33E-07,2020/2/7,,,,,,,,,,,
1.91E-07,2020/2/8,,,,,,,,,,,
2.06E-07,2020/2/9,,,,,,,,,,,
2.06E-07,2020/2/10,,,,,,,,,,,
2.21E-07,2020/2/11,,,,,,,,,,,
2.36E-07,2020/2/12,,,,,,,,,,,
2.50E-07,2020/2/13,,,,,,,,,,,
2.65E-07,2020/2/14,,,,,,,,,,,
2.65E-07,2020/2/15,,,,,,,,,,,
2.65E-07,2020/2/16,,,,,,,,,,,
2.80E-07,2020/2/17,,,,,,,,,,,
2.80E-07,2020/2/18,,,,,,,,,,,
2.95E-07,2020/2/19,,,,,,,,,,,
3.24E-07,2020/2/20,,,,,,,,,,,
3.39E-07,2020/2/21,,,,,,,,,,,
3.39E-07,2020/2/22,,,,,,,,,,,
4.12E-07,2020/2/23,,,,,,,,,,,
4.42E-07,2020/2/24,,,,,,,,,,,
5.01E-07,2020/2/25,,,,,,,,,,,
5.45E-07,2020/2/26,,,,,,,,,,,
6.48E-07,2020/2/27,,,,,,,,,,,
8.25E-07,2020/2/28,,,,,,,,,,,
8.99E-07,2020/2/29,,,,,,,,,,,
1.38E-06,2020/3/1,,,,,,,,,,,
1.97E-06,2020/3/2,,,,,,,,,,,
2.78E-06,2020/3/3,,,,,,,,,,,
3.62E-06,2020/3/4,,,,,,,,,,,
4.35E-06,2020/3/5,,,,,,,,,,,
5.51E-06,2020/3/6,,,,,,,,,,,
6.32E-06,2020/3/7,,,,,,,,,,,
7.11E-06,2020/3/8,,,,,,,,,,,
9.28E-06,2020/3/9,,,,,,,,,,,
1.31E-05,2020/3/10,,,,,,,,,,,
1.92E-05,2020/3/11,,,,,,,,,,,
2.64E-05,2020/3/12,,,,,,,,,,,
3.34E-05,2020/3/13,,,,,,,,,,,
3.88E-05,2020/3/14,,,,,,,,,,,
4.53E-05,2020/3/15,,,,,,,,,,,
5.44E-05,2020/3/16,,,,,,,,,,,
6.57E-05,2020/3/17,,,,,,,,,,,
8.06E-05,2020/3/18,,,,,,,,,,,
9.63E-05,2020/3/19,,,,,,,,,,,
0.000114794,2020/3/20,,,,,,,,,,,
0.000132696,2020/3/21,,,,,,,,,,,
0.000153148,2020/3/22,,,,,,,,,,,
0.000187762,2020/3/23,,,,,,,,,,,
0.000222864,2020/3/24,,,,,,,,,,,
0.000262907,2020/3/25,,,,,,,,,,,
0.000308996,2020/3/26,,,,,,,,,,,
0.000356887,2020/3/27,,,,,,,,,,,
0.000398798,2020/3/28,,,,,,,,,,,
0.000441434,2020/3/29,,,,,,,,,,,
0.000505234,2020/3/30,,,,,,,,,,,
0.000572094,2020/3/31,,,,,,,,,,,
0.000645454,2020/4/1,,,,,,,,,,,
0.00071816,2020/4/2,,,,,,,,,,,
0.000791643,2020/4/3,,,,,,,,,,,
0.00085174,2020/4/4,,,,,,,,,,,
0.000905601,2020/4/5,,,,,,,,,,,
0.000984057,2020/4/6,,,,,,,,,,,
0.001065034,2020/4/7,,,,,,,,,,,
0.001141256,2020/4/8,,,,,,,,,,,
0.001213695,2020/4/9,,,,,,,,,,,
0.001278183,2020/4/10,,,,,,,,,,,
0.001331544,2020/4/11,,,,,,,,,,,
